sample	NTRK1	NTRK2
TCGA-3A-A9IU-01	2.924	8.410
TCGA-IB-AAUN-01	2.845	9.177
TCGA-IB-A5SP-01	2.826	9.109
TCGA-IB-7645-01	2.770	10.77
TCGA-3A-A9IH-01	2.767	10.39
TCGA-IB-7885-01	2.746	8.117
TCGA-3A-A9I9-01	2.737	10.29
TCGA-FB-AAQ2-01	2.719	7.822
TCGA-H6-8124-01	2.668	7.676
TCGA-HZ-8005-01	2.626	3.845
TCGA-2J-AABI-01	2.604	6.098
TCGA-FB-AAQ0-01	2.520	5.017
TCGA-FB-AAQ6-01	2.510	7.039
TCGA-3A-A9IO-01	2.500	9.396
TCGA-2J-AABT-01	2.428	7.135
TCGA-HV-AA8X-01	2.412	6.687
TCGA-2J-AABE-01	2.410	7.586
TCGA-IB-7646-01	2.339	8.448
TCGA-H6-A45N-11	2.298	8.850
TCGA-2J-AAB8-01	2.251	7.977
TCGA-FB-AAQ3-01	2.249	6.602
TCGA-HV-A5A6-01	2.247	7.477
TCGA-US-A77E-01	2.168	7.471
TCGA-3A-A9IR-01	2.151	7.557
TCGA-US-A776-01	2.147	7.685
TCGA-L1-A7W4-01	2.143	7.578
TCGA-IB-7886-01	2.134	8.519
TCGA-IB-A7LX-01	1.909	6.724
TCGA-US-A77G-01	1.903	9.744
TCGA-3A-A9J0-01	1.864	8.410
TCGA-HZ-A8P1-01	1.763	6.641
TCGA-M8-A5N4-01	1.721	6.926
TCGA-3A-A9IV-01	1.698	7.658
TCGA-2J-AABU-01	1.671	5.371
TCGA-2L-AAQM-01	1.475	10.33
TCGA-2L-AAQA-01	1.383	6.578
TCGA-2L-AAQJ-01	1.313	8.408
TCGA-3A-A9IS-01	1.241	9.323
TCGA-HV-A7OP-01	1.015	7.506
TCGA-F2-A8YN-01	0.5993	7.827
TCGA-HZ-7289-01	0.000	8.256
TCGA-FB-AAPP-01	0.000	6.183
TCGA-FZ-5919-01		
TCGA-FZ-5919-11		
TCGA-FZ-5920-01		
TCGA-FZ-5920-11		
TCGA-FZ-5921-01		
TCGA-FZ-5922-01		
TCGA-FZ-5922-11		
TCGA-FZ-5923-01		
TCGA-FZ-5923-11		
TCGA-FZ-5924-01		
TCGA-FZ-5924-11		
TCGA-FZ-5926-01		
TCGA-FZ-5926-11		
